"key","marathi","english_gloss","screen","source"
"lang.title","भाषा निवडा","Choose language","S-01","doc10 §3"
"common.continue","पुढे जा","Continue","S-01/S-03","doc10 §3"
"s01.free","हे ॲप पूर्णपणे मोफत आहे","This app is completely free","S-01","doc10 §3"
"s01.howto","ॲप कसे वापरायचे ते पहा","See how to use the app","S-01","doc10 §3"
"s02.title","मोबाईल नंबर टाका","Enter mobile number","S-02","doc10 §3"
"s02.send","OTP पाठवा","Send OTP","S-02","doc10 §3"
"s02.invalid","बरोबर 10 अंकी नंबर टाका","Enter a valid 10-digit number","S-02","doc10 §3"
"s02.trust","हा नंबर फक्त लॉगिनसाठी वापरला जाईल","Used only for login","S-02","NEW"
"wall.contact","विक्रेत्याशी बोलण्यासाठी आधी लॉगिन करा","Log in first to talk to the seller","login wall","doc06 §6"
"s03.wrong","चुकीचा OTP. पुन्हा प्रयत्न करा.","Wrong OTP. Try again.","S-03","doc06 §6"
"s03.resend","OTP पुन्हा पाठवा","Send OTP again","S-03","doc06 §6"
"s03.resent","OTP पुन्हा पाठवला आहे","OTP sent again","S-03","doc10 §3"
"s03.change","नंबर बदला","Change number","S-03","doc10 §3"
"s04.name","तुमचे नाव","Your name","S-04","doc10 §3"
"s04.district","जिल्हा निवडा","Choose district","S-04","doc10 §3"
"s04.role_min","किमान एक निवडा","Choose at least one","S-04","doc10 §3"
"s04.role_sell","मला जनावर विकायचे आहे","I want to sell an animal","S-04","doc10 §3"
"s04.role_buy","मला जनावर विकत घ्यायचे आहे","I want to buy an animal","S-04","doc10 §3"
"common.save","जतन करा","Save","multiple","doc10 §3"
"s05.search_ph","जनावर शोधा","Search for an animal","S-05","doc10 §3"
"s05.install","पशुसेतू फोनवर ठेवा — एक टॅप मध्ये उघडा","Keep PashuSetu on your phone","S-05","doc10 §3"
"s06.empty","काहीही सापडले नाही. फिल्टर बदलून पुन्हा पहा.","Nothing found. Change filters.","S-06","doc06 §6"
"s06.clear","फिल्टर काढा","Clear filters","S-06","doc06 §6"
"s06.end","सर्व जाहिराती पाहिल्या","You have seen all listings","S-06","doc06 §6"
"s06.clear_all","सर्व काढा","Clear all","S-06","doc10 §3"
"s07.trust_badge","तपासलेली जाहिरात","Checked listing","S-07","doc10 §3"
"s07.negotiable","बोलणी होऊ शकते","Negotiable","S-07","doc10 §3"
"s07.call","कॉल करा","Call","S-07","doc10 §3"
"s07.interest","आवड कळवा","Send interest","S-07","doc10 §3"
"s07.interest_ok","विक्रेत्याला कळवले आहे","The seller has been informed","S-07","doc10 §3"
"s07.sold","हे जनावर विकले गेले आहे","This animal has been sold","S-07","doc06 §6"
"s07.unavailable","ही जाहिरात आता उपलब्ध नाही","This listing is no longer available","S-07","doc06 §6"
"s07.ratelimit","आजची मर्यादा संपली. उद्या पुन्हा प्रयत्न करा.","Daily limit reached. Try tomorrow.","S-07","doc06 §6"
"s07.report","तक्रार करा","Report","S-07/S-17","doc10 §3"
"s09.other","या विक्रेत्याच्या इतर जाहिराती","Other listings by this seller","S-09","doc10 §3"
"w.q_species","कोणते जनावर विकायचे?","Which animal are you selling?","S-10a","doc10 §3"
"w.breed","जात निवडा","Choose breed","S-10a","doc10 §3"
"w.save_exit","जतन करून बाहेर पडा","Save and exit","S-10","doc10 §3"
"w.saved","जतन झाले","Saved","S-10","NEW"
"w.photo_nudge","किमान 3 फोटो टाकल्यास जनावर लवकर विकले जाते","3+ photos sell faster","S-10c","doc10 §3"
"w.photo_big","फोटो खूप मोठा आहे. दुसरा फोटो निवडा.","Photo too big, pick another","S-10c","doc10 §3"
"w.photo_tip","उन्हात, पूर्ण जनावर दिसेल असा फोटो काढा","Shoot in daylight, full animal visible","S-10c","doc10 §3"
"w.price","किंमत ठरवा","Set the price","S-10d","doc10 §3"
"w.negotiable","किंमतीत बदल शक्य","Price negotiable","S-10d","doc10 §3"
"w.village","गाव लिहा","Write the village","S-10d","doc10 §3"
"w.declaration","मी जाहीर करतो/करते की मी या जनावराचा/जनावरीचा कायदेशीर मालक आहे, ही विक्री महाराष्ट्र राज्याच्या कायद्यांनुसार आहे, आणि हे जनावर कत्तलीसाठी विकले जात नाही.","Legal owner / Maharashtra law / not for slaughter (BR-027 — VERBATIM, never edit)","S-10e","BR-027"
"w.decl_hint","हमीपत्र स्वीकारल्याशिवाय जाहिरात पाठवता येणार नाही","Cannot send without accepting declaration","S-10e","doc06 §6"
"w.privacy","तुमचा नंबर फक्त लॉगिन केलेल्या खरेदीदारांनाच दिसेल","Number shown only to logged-in buyers","S-10e","doc10 §3"
"w.submit","तपासणीसाठी पाठवा","Send for review","S-10e","doc10 §3"
"w.submitted","तुमची जाहिरात तपासणीसाठी पाठवली आहे. 24 तासांच्या आत उत्तर मिळेल.","Sent for review; reply within 24 hours","S-10e","doc06 §6"
"s11.pending_note","तपासणी सुरू आहे — साधारण 24 तास","Under review — approx. 24 hours","S-11","doc10 §3"
"s11.mark_sold","विकले गेले म्हणून नोंद करा","Mark as sold","S-11","doc10 §3"
"s11.sold_confirm","विकले गेले म्हणून नोंद करायची का? हे परत बदलता येणार नाही.","Mark sold? Cannot be undone.","S-11","doc06 §6"
"s11.renew","30 दिवसांसाठी पुन्हा सुरू करा","Renew for 30 days","S-11","doc06 §6"
"s11.fix_resend","दुरुस्त करून पुन्हा पाठवा","Fix and resend","S-11","doc10 §3"
"s11.archive_confirm","काढून टाकल्यावर जाहिरात परत सुरू करता येणार नाही.","After removing it cannot be reopened","S-11","doc10 §3"
"s12.warning","बदल केल्यास जाहिरात पुन्हा तपासणीत जाईल","Changes send the listing back to review","S-12","doc06 §6"
"s12.price_saved","किंमत बदलली","Price updated","S-12","doc10 §3"
"s13.empty","अजून एकही जाहिरात जतन केलेली नाही. आवडलेल्या जाहिरातीवर जतन दाबा.","Nothing saved yet","S-13","doc10 §3"
"s14.empty","अजून सूचना नाहीत.","No notifications yet","S-14","doc10 §3"
"s15.phone_fixed","फोन नंबर बदलता येत नाही","Phone number cannot be changed","S-15","doc10 §3"
"s15.logout","बाहेर पडा","Log out","S-15","doc10 §3"
"s15.logout_confirm","बाहेर पडायचे का?","Log out?","S-15","doc10 §3"
"s17.success","तुमची तक्रार नोंदवली आहे. आम्ही लवकरच तपासू.","Complaint recorded, we will check soon","S-17","doc06 §6"
"s17.duplicate","तुमची तक्रार आधीच नोंदवली आहे","Complaint already recorded","S-17","doc06 §6"
"global.offline","इंटरनेट नाही — जुनी माहिती दाखवत आहोत","No internet — showing older data","global","doc10 §3"
"global.banned","तुमचे खाते बंद करण्यात आले आहे.","Your account has been suspended.","banned","doc10 §3"
"status.draft","अपूर्ण","Draft","badges","doc10 §4"
"status.pending","तपासणीत","In review","badges","doc10 §4"
"status.approved","चालू","Live","badges","doc10 §4"
"status.rejected","नाकारली","Rejected","badges","doc10 §4"
"status.sold","विकले गेले","Sold","badges","doc10 §4"
"status.expired","मुदत संपली","Expired","badges","doc10 §4"
"status.archived","बंद","Archived","badges","doc10 §4"